x,Sampl 2,Sampl 3,Sampl 5,Sampl 6
0.1,829.4673333,807.6806667,808.6616667,809.9673333
0.3,821.8506667,821.9753333,797.0526667,797.1263333
0.5,801.4263333,788.8466667,796.0686667,809.802
0.7,798.132,762.6803333,768.6076667,799.0616667
0.9,793.9686667,743.4703333,756.253,814.355
1.1,777.6073333,712.451,711.6093333,804.5903333
1.3,763.2996667,661.4816667,658.2706667,774.5983333
1.5,737.893,594.372,605.2146667,759.7643333
1.7,684.1746667,557.1056667,559.5173333,709.8803333
1.9,641.4146667,526.521,526.5936667,653.4323333
2.1,588.9353333,504.831,498.9896667,601.3523333
2.3,551.016,494.9616667,490.418,557.7406667
2.5,531.6983333,491.0106667,481.9333333,528.8816667
2.7,504.3196667,485.903,476.5606667,503.4543333
2.9,502.7066667,485.8473333,476.091,489.9213333
3.4,488.361,459.611,459.611,488.263
3.9,486.868,469.382,469.382,488.263
4.4,485.379,472.231,472.231,488.263
4.9,492.886,467.864,467.864,488.263
5.4,491.399,475.1,475.1,488.263
