x,fM_LPC,fA_LPC,fM_LPC_c,fA_LPC_c,fM_Atm,fA_Atm,fM_Atm_c,fA_Atm_c
0,0.681493343,0.318506657,0.669239523,0.330760477,0.715201864,0.284798136,0.692562035,0.307437965
0.22,0.67164622,0.32835378,0.691195524,0.308804476,0.730673896,0.269326104,0.708431806,0.291568194
0.44,0.694688183,0.305311817,0.694669551,0.305330449,0.753606739,0.246393261,0.745155596,0.254844404
0.66,0.703943338,0.296056662,0.712584326,0.287415674,0.79442438,0.20557562,0.78621358,0.21378642
0.88,0.737773302,0.262226698,0.734555571,0.265444429,0.834193437,0.165806563,0.801814664,0.198185336
1.1,0.794810814,0.205189186,0.756084966,0.243915034,0.871036507,0.128963493,0.838783147,0.161216853
1.32,0.82866137,0.17133863,0.788998861,0.211001139,0.868029531,0.131970469,0.865190671,0.134809329
1.53,0.847890028,0.152109972,0.832042421,0.167957579,0.867949467,0.132050533,0.873607181,0.126392819
1.75,0.859944689,0.140055311,0.856864674,0.143135326,0.881486252,0.118513748,0.874869696,0.125130304
1.97,0.875671754,0.124328246,0.874869177,0.125130823,0.870504109,0.129495891,0.867916003,0.132083997
2.19,0.87934174,0.12065826,0.884364256,0.115635744,0.881577912,0.118422088,0.890784623,0.109215377
2.41,0.88684579,0.11315421,0.887202707,0.112797293,0.894526901,0.105473099,0.880674177,0.119325823
2.63,0.885063769,0.114936231,0.865238205,0.134761795,0.877059532,0.122940468,0.887777952,0.112222048
4.16,0.89590889,0.10409111,0.895671829,0.104328171,0.888978623,0.111021377,0.896729898,0.103270102
8,0.89590889,0.10409111,0.895671829,0.104328171,0.888978623,0.111021377,0.896729898,0.103270102
